URL: neverssl.com | Score: 18 | Entropy: 3.25163
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: update.code.visualstudio.com | Score: 5 | Entropy: 3.69951
URL: update.code.visualstudio.com | Score: 5 | Entropy: 3.69951
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: storage.live.com | Score: 35 | Entropy: 3.625
URL: -onedriveclucproddm20006.blob.core.windows.net | Score: 74 | Entropy: 4.16206
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: fd.api.iris.microsoft.com | Score: 30 | Entropy: 3.41366
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: graph.microsoft.com | Score: 25 | Entropy: 3.57662
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: images-eds-ssl.xboxlive.com | Score: 23 | Entropy: 3.76397
URL: store-images.s-microsoft.com | Score: 58 | Entropy: 3.56611
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: merchandise.opera-api.com | Score: 15 | Entropy: 3.70347
URL: merchandise.opera-api.com | Score: 15 | Entropy: 3.70347
URL: merchandise.opera-api.com | Score: 15 | Entropy: 3.70347
URL: co-merchandise.opera-api.com | Score: 15 | Entropy: 3.69951
URL: speeddials.opera.com | Score: 10 | Entropy: 3.48418
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: autoupdate.opera.com | Score: 20 | Entropy: 3.34644
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: assets.msn.com | Score: 0 | Entropy: 2.95021
URL: windows.msn.com | Score: 27 | Entropy: 3.10689
URL: www.msn.com | Score: 0 | Entropy: 2.66353
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: speeddials.opera.com | Score: 10 | Entropy: 3.48418
URL: speeddials.opera.com | Score: 10 | Entropy: 3.48418
URL: weather.opera-api2.com | Score: 15 | Entropy: 3.66353
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: ab-merchandise.opera-api.com | Score: 15 | Entropy: 3.78039
URL: merchandise.opera-api2.com | Score: 15 | Entropy: 3.79622
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: example.com | Score: 70 | Entropy: 3.0958
URL: example.com | Score: 70 | Entropy: 3.0958
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: speeddials.opera.com | Score: 10 | Entropy: 3.48418
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: sd-images.operacdn.com | Score: 15 | Entropy: 3.73216
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: suggestions.opera-api2.com | Score: 20 | Entropy: 3.87314
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: cashback-api-production.operacdn.com | Score: 57 | Entropy: 3.93758
URL: sitecheck.opera.com | Score: 26 | Entropy: 3.53689
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: github.com | Score: 10 | Entropy: 3.32193
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: main.vscode-cdn.net | Score: 5 | Entropy: 3.57662
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: proxy.individual.githubcopilot.com | Score: 55 | Entropy: 4.01792
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: westus-0.in.applicationinsights.azure.com | Score: 15 | Entropy: 4.09233
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: assets.msn.com | Score: 0 | Entropy: 2.95021
URL: windows.msn.com | Score: 27 | Entropy: 3.10689
URL: www.msn.com | Score: 0 | Entropy: 2.66353
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: skydrive.wns.windows.com | Score: 47 | Entropy: 3.65727
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: www.microsoft.com | Score: 25 | Entropy: 3.17512
URL: www.digicert.com | Score: 10 | Entropy: 3.32782
URL: steamconnecttest.com | Score: 33 | Entropy: 3.04644
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: www.msftconnecttest.com | Score: 18 | Entropy: 3.24053
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: www.digicert.com | Score: 10 | Entropy: 3.32782
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: g.live.com | Score: 0 | Entropy: 3.12193
URL: g.live.com | Score: 0 | Entropy: 3.12193
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: www.digicert.com | Score: 10 | Entropy: 3.32782
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: storeedge.microsoft.com | Score: 58 | Entropy: 3.44726
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: default.exp-tas.com | Score: 10 | Entropy: 3.82687
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: proxy.individual.githubcopilot.com | Score: 55 | Entropy: 4.01792
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: api.individual.githubcopilot.com | Score: 25 | Entropy: 3.78064
URL: api.github.com | Score: 15 | Entropy: 3.52164
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: self.events.data.microsoft.com | Score: 25 | Entropy: 3.73957
URL: g.live.com | Score: 0 | Entropy: 3.12193
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: weather.opera-api2.com | Score: 15 | Entropy: 3.66353
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: fd.api.iris.microsoft.com | Score: 30 | Entropy: 3.41366
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: arc.msn.com | Score: 10 | Entropy: 2.91398
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: www.msftconnecttest.com | Score: 18 | Entropy: 3.24053
URL: skydrive.wns.windows.com | Score: 47 | Entropy: 3.65727
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: www.msftconnecttest.com | Score: 18 | Entropy: 3.24053
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: ctldl.windowsupdate.com | Score: 32 | Entropy: 3.79509
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: www.digicert.com | Score: 10 | Entropy: 3.32782
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: oneocsp.microsoft.com | Score: 25 | Entropy: 3.32734
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: www.digicert.com | Score: 10 | Entropy: 3.32782
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: api.steampowered.com | Score: 30 | Entropy: 3.58418
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: steamconnecttest.com | Score: 33 | Entropy: 3.04644
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: api.steampowered.com | Score: 30 | Entropy: 3.58418
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: client-update.steamstatic.com | Score: 30 | Entropy: 3.6899
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: client-update.steamstatic.com | Score: 30 | Entropy: 3.6899
URL: g.live.com | Score: 0 | Entropy: 3.12193
URL: dellupdater.dell.com | Score: 20 | Entropy: 3.34644
URL: cmp1-atl3.steamserver.net | Score: 48 | Entropy: 3.73366
URL: cmp1-iad1.steamserver.net | Score: 48 | Entropy: 3.76386
URL: watson.events.data.microsoft.com | Score: 25 | Entropy: 3.70282
URL: watson.events.data.microsoft.com | Score: 25 | Entropy: 3.70282
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: watsonc.telemetry.microsoft.us | Score: 25 | Entropy: 3.80624
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: odc.officeapps.live.com | Score: 15 | Entropy: 3.55553
URL: continuum.dds.microsoft.com | Score: 25 | Entropy: 3.48583
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: ecs.office.com | Score: 10 | Entropy: 2.89629
URL: storage.live.com | Score: 35 | Entropy: 3.625
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: -onedriveclucprodbn20008.blob.core.windows.net | Score: 74 | Entropy: 4.10217
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: client.wns.windows.com | Score: 27 | Entropy: 3.4474
URL: clientconfig.akamai.steamstatic.com | Score: 35 | Entropy: 3.61159
URL: clientconfig.akamai.steamstatic.com | Score: 35 | Entropy: 3.61159
URL: clientconfig.akamai.steamstatic.com | Score: 35 | Entropy: 3.61159
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: substrate.office.com | Score: 20 | Entropy: 3.62193
URL: substrate.office.com | Score: 20 | Entropy: 3.62193
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: shared.steamstatic.com | Score: 47 | Entropy: 3.4474
URL: shared.steamstatic.com | Score: 47 | Entropy: 3.4474
URL: dl.dell.com | Score: 5 | Entropy: 2.66353
URL: api.onedrive.com | Score: 37 | Entropy: 3.5
URL: github.com | Score: 10 | Entropy: 3.32193
URL: extension-updates.opera.com | Score: 25 | Entropy: 3.83804
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: dU.us | Score: 0 | Entropy: 2.32193
URL: alive.github.com | Score: 10 | Entropy: 3.75
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: store.steampowered.com | Score: 53 | Entropy: 3.42512
URL: O.tv | Score: 0 | Entropy: 2
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: login.live.com | Score: 23 | Entropy: 3.23593
URL: ocsp.digicert.com | Score: 10 | Entropy: 3.45482
URL: assets.msn.com | Score: 0 | Entropy: 2.95021
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: config.edge.skype.com | Score: 27 | Entropy: 3.65376
URL: edge.microsoft.com | Score: 30 | Entropy: 3.46132
URL: .config.skype.com | Score: 22 | Entropy: 3.57247
URL: config.edge.skype.com | Score: 27 | Entropy: 3.65376
URL: www.msn.com | Score: 0 | Entropy: 2.66353
URL: edge.microsoft.com | Score: 30 | Entropy: 3.46132
URL: www.msn.com | Score: 0 | Entropy: 2.66353
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: mobile.events.data.microsoft.com | Score: 30 | Entropy: 3.80423
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: VO.io | Score: 0 | Entropy: 2.32193
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: E.us | Score: 0 | Entropy: 2
URL: sadownload.mcafee.com | Score: 8 | Entropy: 3.46328
URL: tas02.sls.update.microsoft.com | Score: 30 | Entropy: 3.85656
URL: msedge.api.cdp.microsoft.com | Score: 35 | Entropy: 3.65505
URL: tas02.sls.update.microsoft.com | Score: 30 | Entropy: 3.85656
URL: j8.io | Score: 0 | Entropy: 2.32193
URL: config.edge.skype.com | Score: 27 | Entropy: 3.65376
URL: -YWf.co | Score: 0 | Entropy: 2.80735
URL: tas02.cws.update.microsoft.com | Score: 30 | Entropy: 3.87291
URL: tas02.sls.update.microsoft.com | Score: 30 | Entropy: 3.85656
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: tas02.sls.update.microsoft.com | Score: 30 | Entropy: 3.85656
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: analytics.apis.mcafee.com | Score: 15 | Entropy: 3.62347
URL: tas02.sls.update.microsoft.com | Score: 30 | Entropy: 3.85656
URL: analytics.apis.mcafee.com | Score: 15 | Entropy: 3.62347
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: tsfe.trafficshaping.dsp.mp.microsoft.com | Score: 42 | Entropy: 3.81845
URL: tsfe.trafficshaping.dsp.mp.microsoft.com | Score: 42 | Entropy: 3.81845
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: skydrive.wns.windows.com | Score: 47 | Entropy: 3.65727
URL: .wns.windows.com | Score: 27 | Entropy: 3.03064
URL: my.microsoftpersonalcontent.com | Score: 35 | Entropy: 3.70809
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: crl.microsoft.com | Score: 25 | Entropy: 3.17512
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
URL: settings-win.data.microsoft.com | Score: 48 | Entropy: 3.82453
